title,mp4_download_url,post_url,page,category,board
AVSA-459 스즈키 마유,https://data.cdn.avsee.is/bcdn_token=TW3LVtT51n6-1PBZvuu9sW2ELV6dqNFXkCKVDxMisfs&expires=1789815021&token_path=%2Fa%2Fh%2F2026%2F09%2F19%2FAVSA-459.mp4/a/h/2026/09/19/AVSA-459.mp4,https://02.avsee.is/bbs/board.php?bo_table=javc&wr_id=2155384,1,javc,javc
AVSA-458 우카와 루루,https://data.cdn.avsee.is/bcdn_token=oH26drsKntmBiLGsgOCz8JBpGfE7Ir02VkuQbfR_6QU&expires=1789815025&token_path=%2Fa%2Fh%2F2026%2F09%2F19%2FAVSA-458.mp4/a/h/2026/09/19/AVSA-458.mp4,https://02.avsee.is/bbs/board.php?bo_table=javc&wr_id=2155383,1,javc,javc
WTEX-025,https://data.cdn.avsee.is/bcdn_token=lLjEgkVbIcFT1EkJvnSiN9CUr5r7jYQiwpnS8k7iSZE&expires=1789815028&token_path=%2Fa%2Fh%2F2026%2F09%2F18%2FWTEX-025.mp4/a/h/2026/09/18/WTEX-025.mp4,https://02.avsee.is/bbs/board.php?bo_table=javc&wr_id=2154319,1,javc,javc
SNOS-394 사카키바라 모에,https://data.cdn.avsee.is/bcdn_token=AlNXljqvwI9bLGmWzc_Zhvvzzx-JDJ6xlgwI8TCDU_I&expires=1789815031&token_path=%2Fa%2Fh%2F2026%2F09%2F18%2FSNOS-394.mp4/a/h/2026/09/18/SNOS-394.mp4,https://02.avsee.is/bbs/board.php?bo_table=javc&wr_id=2154318,1,javc,javc
SNOS-382 코다마 나나미,,https://02.avsee.is/bbs/board.php?bo_table=javc&wr_id=2154317,1,javc,javc
SNOS-330 시라이시 토와,https://data.cdn.avsee.is/bcdn_token=XvpokO1D8kxZNzNQRDasl69onCPalnEkHHYMAIH_Qi8&expires=1789815037&token_path=%2Fa%2Fh%2F2026%2F09%2F18%2FSNOS-382.mp4/a/h/2026/09/18/SNOS-382.mp4,https://02.avsee.is/bbs/board.php?bo_table=javc&wr_id=2154316,1,javc,javc
ROYD-362 아마카와 소라,https://data.cdn.avsee.is/bcdn_token=TP-nnhUbDWc0cPKmEY1mGYezs-NL-x3x9amHl8B-1EU&expires=1789815041&token_path=%2Fa%2Fh%2F2026%2F09%2F18%2FROYD-362.mp4/a/h/2026/09/18/ROYD-362.mp4,https://02.avsee.is/bbs/board.php?bo_table=javc&wr_id=2154314,1,javc,javc
ROYD-356 타케우치 유키,https://data.cdn.avsee.is/bcdn_token=KCIFHSvPaXqci5j6rfUQk2r8MOG9ldB09DG2u0b_x6c&expires=1789815044&token_path=%2Fa%2Fh%2F2026%2F09%2F18%2FROYD-356.mp4/a/h/2026/09/18/ROYD-356.mp4,https://02.avsee.is/bbs/board.php?bo_table=javc&wr_id=2154313,1,javc,javc
ROYD-355 하루히 모카,https://data.cdn.avsee.is/bcdn_token=19tQfzCnIFxhOMqAM-FYrC6CGuCUgFtu0Hcevgif_Io&expires=1789815048&token_path=%2Fa%2Fh%2F2026%2F09%2F18%2FROYD-355.mp4/a/h/2026/09/18/ROYD-355.mp4,https://02.avsee.is/bbs/board.php?bo_table=javc&wr_id=2154312,1,javc,javc
SNOS-377 카와키타 사이카/카와키타 사이카,https://data.cdn.avsee.is/bcdn_token=jPlYpdFUy1SCRxuyLCzGhbEEqa9mG9Myi8q3GWmQ_IM&expires=1789815052&token_path=%2Fa%2Fh%2F2026%2F09%2F18%2FSNOS-377.mp4/a/h/2026/09/18/SNOS-377.mp4,https://02.avsee.is/bbs/board.php?bo_table=javc&wr_id=2154068,1,javc,javc
