title,mp4_download_url,post_url,page,category,board
FC2PPV-4920167UL,https://data.cdn.avsee.is/bcdn_token=tW5x4ydDD6yiyKdR_gKtDfHeO39TGN3q2zytenTuOWU&expires=1789812232&token_path=%2Fa%2Fh%2F2026%2F06%2F25%2FFC2PPV-4920167ULA.mp4/a/h/2026/06/25/FC2PPV-4920167ULA.mp4,https://02.avsee.is/bbs/board.php?bo_table=javleak&wr_id=20199,1,javleak,javleak
FC2PPV-4925245UL,https://data.cdn.avsee.is/bcdn_token=_JeopIKIyYjyx6kXropakpRBjYbsyDCbOz0HXphdPZI&expires=1789812236&token_path=%2Fa%2Fh%2F2026%2F06%2F25%2FFC2PPV-4925245UL.mp4/a/h/2026/06/25/FC2PPV-4925245UL.mp4,https://02.avsee.is/bbs/board.php?bo_table=javleak&wr_id=20198,1,javleak,javleak
FC2PPV-4922101UL,https://data.cdn.avsee.is/bcdn_token=t4qMSfr9cgginx91YTtd9ykaV6neWypf7YIMr6h_PAU&expires=1789812238&token_path=%2Fa%2Fh%2F2026%2F06%2F25%2FFC2PPV-4922101UL.mp4/a/h/2026/06/25/FC2PPV-4922101UL.mp4,https://02.avsee.is/bbs/board.php?bo_table=javleak&wr_id=20197,1,javleak,javleak
FC2PPV-4922818UL,https://data.cdn.avsee.is/bcdn_token=VoS51pDfr23BNjXwvcckqTNNt2PUzzu1jYudWK_VeKE&expires=1789812241&token_path=%2Fa%2Fh%2F2026%2F06%2F24%2FFC2PPV-4922818UL.mp4/a/h/2026/06/24/FC2PPV-4922818UL.mp4,https://02.avsee.is/bbs/board.php?bo_table=javleak&wr_id=20146,1,javleak,javleak
FC2PPV-4790169UL,https://data.cdn.avsee.is/bcdn_token=GnPxD13DOE2Bl5Dztl7oCknHIiwcKnm6YbYG_9zfc_Q&expires=1789812244&token_path=%2Fa%2Fh%2F2026%2F06%2F19%2FFC2PPV-4790169UL.mp4/a/h/2026/06/19/FC2PPV-4790169UL.mp4,https://02.avsee.is/bbs/board.php?bo_table=javleak&wr_id=20077,1,javleak,javleak
FC2PPV-4911951UL,https://data.cdn.avsee.is/bcdn_token=1qrk5cohrKGRJhEzvHEQVOK75EX9UP_YeGxm4fsq9ns&expires=1789812248&token_path=%2Fa%2Fh%2F2026%2F06%2F05%2FFC2PPV-4911951UL.mp4/a/h/2026/06/05/FC2PPV-4911951UL.mp4,https://02.avsee.is/bbs/board.php?bo_table=javleak&wr_id=20003,1,javleak,javleak
STAR-264UL 마에다 카오리,https://data.cdn.avsee.is/bcdn_token=knRmGhbsnEuOjBw57KRnNB1CNg5EemHHVCFvN8eJptA&expires=1789812250&token_path=%2Fa%2Fh%2F2023%2F09%2F28%2FSTAR-264L.mp4/a/h/2023/09/28/STAR-264L.mp4,https://02.avsee.is/bbs/board.php?bo_table=javleak&wr_id=15479,1,javleak,javleak
SOE-660UL 우에하라 호나미,https://data.cdn.avsee.is/bcdn_token=p2EywLGxyi3YDaxSOABLMmitPCCUpYh9sbMjbQYEeZU&expires=1789812253&token_path=%2Fa%2Fh%2F2023%2F09%2F28%2FSOE-660L.mp4/a/h/2023/09/28/SOE-660L.mp4,https://02.avsee.is/bbs/board.php?bo_table=javleak&wr_id=15478,1,javleak,javleak
DNIN-008UL 츠키미 야요이,https://data.cdn.avsee.is/bcdn_token=xPxzAJ77G6pyt7p-P-rAVe1bYy4lZlIK7YZpVsWYmgc&expires=1789812256&token_path=%2Fa%2Fh%2F2023%2F09%2F11%2FDNIN-008LC.mp4/a/h/2023/09/11/DNIN-008LC.mp4,https://02.avsee.is/bbs/board.php?bo_table=javleak&wr_id=15378,1,javleak,javleak
DNIN-003UL 미즈하라 카오루코,https://data.cdn.avsee.is/bcdn_token=AKa7fTxrqAxg5RqNXw0nSF-G6Q1BW1RvZKT4c3KqE8g&expires=1789812489&token_path=%2Fa%2Fh%2F2023%2F09%2F11%2FDNIN-003LA.mp4/a/h/2023/09/11/DNIN-003LA.mp4,https://02.avsee.is/bbs/board.php?bo_table=javleak&wr_id=15377,2,javleak,javleak
