title,mp4_download_url,post_url,page,category,board
[REMOVE]XVSR-528U 콘노 히카루,,https://02.avsee.is/bbs/board.php?bo_table=javm&wr_id=281603,1,javm,javm
[REMOVE]XRW-757U 카구라 아이네,https://data.cdn.avsee.is/bcdn_token=WO3WPezJuXTolA-lXgTlaoyPSIAhXALC_wx9nNhLmns&expires=1789815167&token_path=%2Fa%2Fh%2F2026%2F09%2F19%2FXVSR-528R.mp4/a/h/2026/09/19/XVSR-528R.mp4,https://02.avsee.is/bbs/board.php?bo_table=javm&wr_id=281602,1,javm,javm
[REMOVE]XRW-711U,https://data.cdn.avsee.is/bcdn_token=AuTDzzzQX1wOqL-CloU5dQV7zcjR9YL9_JUlC9M0eGM&expires=1789815174&token_path=%2Fa%2Fh%2F2026%2F09%2F19%2FXRW-711R.mp4/a/h/2026/09/19/XRW-711R.mp4,https://02.avsee.is/bbs/board.php?bo_table=javm&wr_id=281601,1,javm,javm
[REMOVE]VICD-007U 아이사키 레이라/치히로 하라,https://data.cdn.avsee.is/bcdn_token=sctWzTlvc7ZwGUMUakIpMJlzCZfRvRBSLPhkWeh7YK0&expires=1789815177&token_path=%2Fa%2Fh%2F2026%2F09%2F19%2FVICD-007R.mp4/a/h/2026/09/19/VICD-007R.mp4,https://02.avsee.is/bbs/board.php?bo_table=javm&wr_id=281600,1,javm,javm
[REMOVE]URE-142U 시노하라 이요,https://data.cdn.avsee.is/bcdn_token=-SHBCUOwZuEKPaVHIY6VdEupKziaoXRyyUEoT-_2S6w&expires=1789815181&token_path=%2Fa%2Fh%2F2026%2F09%2F19%2FURE-142R.mp4/a/h/2026/09/19/URE-142R.mp4,https://02.avsee.is/bbs/board.php?bo_table=javm&wr_id=281599,1,javm,javm
[REMOVE]URE-140U 나나미 티나,https://data.cdn.avsee.is/bcdn_token=74nCsQq3PVqBZGvoUgBmrI6Oa4HHDEoW1sFkjuhyM9k&expires=1789815184&token_path=%2Fa%2Fh%2F2026%2F09%2F19%2FURE-140R.mp4/a/h/2026/09/19/URE-140R.mp4,https://02.avsee.is/bbs/board.php?bo_table=javm&wr_id=281598,1,javm,javm
[REMOVE]SW-1067U,https://data.cdn.avsee.is/bcdn_token=AYeigIwdcUAFeyjPtZHg-tTSRJUMOF_7Oh__cUswZ6M&expires=1789815187&token_path=%2Fa%2Fh%2F2026%2F09%2F19%2FSW-1067R.mp4/a/h/2026/09/19/SW-1067R.mp4,https://02.avsee.is/bbs/board.php?bo_table=javm&wr_id=281597,1,javm,javm
[REMOVE]STAR-661U 마츠오카 치나,https://data.cdn.avsee.is/bcdn_token=ea4F1VUapI6DbiuGIPq4RvWARhrMCVyp-22njJ2-k60&expires=1789815191&token_path=%2Fa%2Fh%2F2026%2F09%2F19%2FSTAR-661R.mp4/a/h/2026/09/19/STAR-661R.mp4,https://02.avsee.is/bbs/board.php?bo_table=javm&wr_id=281596,1,javm,javm
[REMOVE]STAR-654U 마츠오카 치나,https://data.cdn.avsee.is/bcdn_token=JGHQixfq2nd5nWX7waH_sk_Jh1f6PU1X5eFn1DcGnvM&expires=1789815195&token_path=%2Fa%2Fh%2F2026%2F09%2F19%2FSTAR-654R.mp4/a/h/2026/09/19/STAR-654R.mp4,https://02.avsee.is/bbs/board.php?bo_table=javm&wr_id=281595,1,javm,javm
[REMOVE]PRED-902U 미요시 유카,https://data.cdn.avsee.is/bcdn_token=hSZbrwonm9mHRo2mehLAwWxr8Onh9rDnXGv1JJOvYMc&expires=1789815198&token_path=%2Fa%2Fh%2F2026%2F09%2F12%2FPRED-902R.mp4/a/h/2026/09/12/PRED-902R.mp4,https://02.avsee.is/bbs/board.php?bo_table=javm&wr_id=278227,1,javm,javm
[REMOVE]PRPM-002U 아이자와 미유/사츠키 나오,https://data.cdn.avsee.is/bcdn_token=tqe3Q38-BX3ZcGrNeO-D1vWDCSTUKv905UWxGdWDww8&expires=1789815201&token_path=%2Fa%2Fh%2F2026%2F09%2F12%2FPRPM-002R.mp4/a/h/2026/09/12/PRPM-002R.mp4,https://02.avsee.is/bbs/board.php?bo_table=javm&wr_id=278228,1,javm,javm
[REMOVE]SNOS-299U 미라이 미우,https://data.cdn.avsee.is/bcdn_token=sbS9FRPKRf_2YuGCMlrZZKafG4y6IPmcEAdbfwc755w&expires=1789815205&token_path=%2Fa%2Fh%2F2026%2F09%2F12%2FSNOS-299R.mp4/a/h/2026/09/12/SNOS-299R.mp4,https://02.avsee.is/bbs/board.php?bo_table=javm&wr_id=278230,1,javm,javm
[REMOVE]EBWH-365U 카시와기 후미카,https://data.cdn.avsee.is/bcdn_token=pK2MDxPyEOWi0Mcp4Q20sMUm3BAqJZZi9mDbnBSOFyc&expires=1789815208&token_path=%2Fa%2Fh%2F2026%2F09%2F13%2FEBWH-365R.mp4/a/h/2026/09/13/EBWH-365R.mp4,https://02.avsee.is/bbs/board.php?bo_table=javm&wr_id=278680,1,javm,javm
[REMOVE]MFYD-190U 사카미치 미루,https://data.cdn.avsee.is/bcdn_token=UtebGsRo4tgTxxogdq01ounn1aA2lhN4NXdPv8l8l5o&expires=1789815212&token_path=%2Fa%2Fh%2F2026%2F09%2F12%2FMFYD-190R.mp4/a/h/2026/09/12/MFYD-190R.mp4,https://02.avsee.is/bbs/board.php?bo_table=javm&wr_id=278206,1,javm,javm
[REMOVE]MRSS-192U 오노사카 유이카,https://data.cdn.avsee.is/bcdn_token=mpF1eB6mf-_GAtR-jma6bpLLlDnDujcGY-M2pB5ycTc&expires=1789815215&token_path=%2Fa%2Fh%2F2026%2F09%2F14%2FMRSS-192R.mp4/a/h/2026/09/14/MRSS-192R.mp4,https://02.avsee.is/bbs/board.php?bo_table=javm&wr_id=279204,1,javm,javm
[REMOVE]PRWF-016U 코마츠 소라,https://data.cdn.avsee.is/bcdn_token=oeiSvlzs4XWRkqNX_LQKU68l6Zlhrj7Bq0x4FlFlSXc&expires=1789815220&token_path=%2Fa%2Fh%2F2026%2F09%2F12%2FPRWF-016R.mp4/a/h/2026/09/12/PRWF-016R.mp4,https://02.avsee.is/bbs/board.php?bo_table=javm&wr_id=278229,1,javm,javm
