title,mp4_download_url,post_url,page,category,board
영상 자막이 안나올경우,,https://02.avsee.is/bbs/board.php?bo_table=caption&wr_id=18031,1,av,caption
나가세 마미 -자막,https://data.cdn.avsee.is/bcdn_token=b3BmS7H1350P3Lb6TxcLZEs1cT8JDoNg8j9VWIGCp0A&expires=1790167740&token_path=%2Fa%2Fh%2F2021%2F12%2F12%2FNSFS-049_720.mp4/a/h/2021/12/12/NSFS-049_720.mp4,https://02.avsee.is/bbs/board.php?bo_table=caption&wr_id=52858,1,av,caption
니시미야 유메 -자막,https://data.cdn.avsee.is/bcdn_token=_PreG6vauKnKrD9WEL6S4FMtTDuKk9HtjsDrAEomEjU&expires=1790167744&token_path=%2Fa%2Fh%2F2022%2F04%2F09%2FIPX-854_720.mp4/a/h/2022/04/09/IPX-854_720.mp4,https://02.avsee.is/bbs/board.php?bo_table=caption&wr_id=52807,1,av,caption
카에데 후아 -자막,https://data.cdn.avsee.is/bcdn_token=lt4ekcoD-DzFWb1M4U9KeL9RciZ4fiZUNzb93xo236I&expires=1790167748&token_path=%2Fa%2Fh%2F2022%2F05%2F07%2FSSIS-400_720.mp4/a/h/2022/05/07/SSIS-400_720.mp4,https://02.avsee.is/bbs/board.php?bo_table=caption&wr_id=52806,1,av,caption
카에데 카렌 -자막,https://data.cdn.avsee.is/bcdn_token=HUnf-90dV-19ylcjVeqLtQIhFmK3FUBOalfjIOc3UHg&expires=1790167752&token_path=%2Fa%2Fh%2F2022%2F05%2F07%2FIPX-867_720.mp4/a/h/2022/05/07/IPX-867_720.mp4,https://02.avsee.is/bbs/board.php?bo_table=caption&wr_id=52804,1,av,caption
아이자와 미나미 -자막,https://data.cdn.avsee.is/bcdn_token=IpXbzX34_pgWT_lAOhOcDfW9xN9a3NaYj0LF1qLeEik&expires=1790167755&token_path=%2Fa%2Fh%2F2022%2F05%2F07%2FIPX-873_720.mp4/a/h/2022/05/07/IPX-873_720.mp4,https://02.avsee.is/bbs/board.php?bo_table=caption&wr_id=52787,1,av,caption
오노 릿카 -자막,https://data.cdn.avsee.is/bcdn_token=y6MTIMzGYNBJxTkRNJUAjiBu8AjD2NJIar8r3MooVis&expires=1790167759&token_path=%2Fa%2Fh%2F2022%2F04%2F15%2FMIDV-086_720.mp4/a/h/2022/04/15/MIDV-086_720.mp4,https://02.avsee.is/bbs/board.php?bo_table=caption&wr_id=52288,1,av,caption
키노시타 리리코 -자막,https://data.cdn.avsee.is/bcdn_token=t8PunpbCUampi996kBKwKM2nssfJaMteT8wxeG7_i84&expires=1790167763&token_path=%2Fa%2Fh%2F2022%2F03%2F04%2FJUL-885_720.mp4/a/h/2022/03/04/JUL-885_720.mp4,https://02.avsee.is/bbs/board.php?bo_table=caption&wr_id=52273,1,av,caption
시로미네 미우 -자막,https://data.cdn.avsee.is/bcdn_token=vum_bOFe86y0eWqX7NA-25RuNdf6OPm8pARZmZC-AVs&expires=1790167767&token_path=%2Fa%2Fh%2F2022%2F04%2F29%2FADN-396_720.mp4/a/h/2022/04/29/ADN-396_720.mp4,https://02.avsee.is/bbs/board.php?bo_table=caption&wr_id=52270,1,av,caption
하야노 우타 -자막,https://data.cdn.avsee.is/bcdn_token=kYVSyle-dY48jpwntadqyl3SHkZc2iC0V7V_ONUJfXg&expires=1790167771&token_path=%2Fa%2Fh%2F2022%2F04%2F23%2FSSIS-386_720.mp4/a/h/2022/04/23/SSIS-386_720.mp4,https://02.avsee.is/bbs/board.php?bo_table=caption&wr_id=52267,1,av,caption
하츠네 미노리 -자막,https://data.cdn.avsee.is/bcdn_token=D8IKO_Z9Z0ipY9Fd9hQ1ciBNEbGqz5YcApi8daW5PBI&expires=1790015589&token_path=%2Fa%2Fd%2FR%2FIPTD-926_720.mp4/a/d/R/IPTD-926_720.mp4,https://02.avsee.is/bbs/board.php?bo_table=caption&wr_id=2737#c_113861,1,av,caption
자막,https://data.cdn.avsee.is/bcdn_token=DH7S1roVjjzVLyYu-gUQJV_hyq3Nt9KFGu9Ra8kVNcg&expires=1790163015&token_path=%2Fa%2Fd%2FR%2F1031%2F300MAAN276_720.mp4/a/d/R/1031/300MAAN276_720.mp4,https://02.avsee.is/bbs/board.php?bo_table=caption&wr_id=5433#c_113917,1,av,caption
