title,mp4_download_url,post_url,page,category,board
영상 자막이 안나올경우,,https://02.avsee.is/bbs/board.php?bo_table=caption&wr_id=18031,1,jp,caption
나가세 마미 -자막,https://data.cdn.avsee.is/bcdn_token=VjmSIVAozG6wrsxSBBYO2Gjep-n3ZS96KBfG_j9dYTk&expires=1790167470&token_path=%2Fa%2Fh%2F2021%2F12%2F12%2FNSFS-049_720.mp4/a/h/2021/12/12/NSFS-049_720.mp4,https://02.avsee.is/bbs/board.php?bo_table=caption&wr_id=52858,1,jp,caption
니시미야 유메 -자막,https://data.cdn.avsee.is/bcdn_token=v4xm0Uxw0S1_yKFa86JsUsePbJLmGLGVpJ4vSKpkaLY&expires=1790167473&token_path=%2Fa%2Fh%2F2022%2F04%2F09%2FIPX-854_720.mp4/a/h/2022/04/09/IPX-854_720.mp4,https://02.avsee.is/bbs/board.php?bo_table=caption&wr_id=52807,1,jp,caption
카에데 후아 -자막,https://data.cdn.avsee.is/bcdn_token=IAgvLJYOBjucjFtb4B52idCi3HCgT-jh9Ygl5MwB1jk&expires=1790167477&token_path=%2Fa%2Fh%2F2022%2F05%2F07%2FSSIS-400_720.mp4/a/h/2022/05/07/SSIS-400_720.mp4,https://02.avsee.is/bbs/board.php?bo_table=caption&wr_id=52806,1,jp,caption
카에데 카렌 -자막,https://data.cdn.avsee.is/bcdn_token=dYJSfD7Vk3N7w8Qg2t4DKdO9WT8D4kxF6CVNQbyFxik&expires=1790167480&token_path=%2Fa%2Fh%2F2022%2F05%2F07%2FIPX-867_720.mp4/a/h/2022/05/07/IPX-867_720.mp4,https://02.avsee.is/bbs/board.php?bo_table=caption&wr_id=52804,1,jp,caption
아이자와 미나미 -자막,https://data.cdn.avsee.is/bcdn_token=MTpJXdGe29yXhfcYxF8tuRcZJNSlGSlo14DCC0Xam0g&expires=1790167483&token_path=%2Fa%2Fh%2F2022%2F05%2F07%2FIPX-873_720.mp4/a/h/2022/05/07/IPX-873_720.mp4,https://02.avsee.is/bbs/board.php?bo_table=caption&wr_id=52787,1,jp,caption
오노 릿카 -자막,https://data.cdn.avsee.is/bcdn_token=sA-ALE7oyvwW9kDEkHE54fZGP61Mu700HmMJemD-mCA&expires=1790167486&token_path=%2Fa%2Fh%2F2022%2F04%2F15%2FMIDV-086_720.mp4/a/h/2022/04/15/MIDV-086_720.mp4,https://02.avsee.is/bbs/board.php?bo_table=caption&wr_id=52288,1,jp,caption
키노시타 리리코 -자막,https://data.cdn.avsee.is/bcdn_token=wzfBpBhTVjwiqAnCCvX7toeJyTdAvwB94NiJykQf54g&expires=1790167490&token_path=%2Fa%2Fh%2F2022%2F03%2F04%2FJUL-885_720.mp4/a/h/2022/03/04/JUL-885_720.mp4,https://02.avsee.is/bbs/board.php?bo_table=caption&wr_id=52273,1,jp,caption
시로미네 미우 -자막,https://data.cdn.avsee.is/bcdn_token=oj_HJV-Y-hP6S_Q4vnRXfDaTMCKw6VAF410dquaZBH8&expires=1790167493&token_path=%2Fa%2Fh%2F2022%2F04%2F29%2FADN-396_720.mp4/a/h/2022/04/29/ADN-396_720.mp4,https://02.avsee.is/bbs/board.php?bo_table=caption&wr_id=52270,1,jp,caption
하야노 우타 -자막,https://data.cdn.avsee.is/bcdn_token=ZE9QS47ejR0_nvDLBxhYUAA_7kYdXBKD2xgvM2I5n6o&expires=1790167496&token_path=%2Fa%2Fh%2F2022%2F04%2F23%2FSSIS-386_720.mp4/a/h/2022/04/23/SSIS-386_720.mp4,https://02.avsee.is/bbs/board.php?bo_table=caption&wr_id=52267,1,jp,caption
자막,https://data.cdn.avsee.is/bcdn_token=AZElIaXhiiMAVnbEE7bWDQgzb-kuobvvlelReKBvWWs&expires=1790162873&token_path=%2Fa%2Fd%2FR%2F1031%2F300MAAN276_720.mp4/a/d/R/1031/300MAAN276_720.mp4,https://02.avsee.is/bbs/board.php?bo_table=caption&wr_id=5433#c_113917,1,jp,caption
