title,mp4_download_url,post_url,page,category
Spring Days are Passing: God of Auction 10,https://z6v2p9a8.bkcdn.net/library/897784/69afbe652adca3b4b0f22d49307ae2c3b7564d3f.mp4,https://krx18.com/movies/89609-spring-days-are-passing-god-of-auction-10-2026/,1,18+
Secret Sex Life of a Married Woman Who Has Explosive Orgasms,https://z6v2p9a8.bkcdn.net/library/897784/69afbe652adca3b4b0f22d49307ae2c3b7564d3f.mp4,https://krx18.com/movies/89610-secret-sex-life-of-a-married-woman-who-has-explosive-orgasms-2026/,1,18+
Don’t Do It With My Wife,https://z6v2p9a8.bkcdn.net/library/897784/69afbe652adca3b4b0f22d49307ae2c3b7564d3f.mp4,https://krx18.com/movies/dont-do-it-with-my-wife-2026/,1,18+
Mom’s Friend 10,https://disqus.com/embed/comments/?base=default&f=krx18&t_u=https%3A%2F%2Fkrx18.com%2Fmovies%2Fmoms-friend-10%2F&t_d=Free%20Watch%20Mom's%20Friend%2010%202026%20Online%202026%20%7C%20Adult%20Movie&t_t=Free%20Watch%20Mom's%20Friend%2010%202026%20Online%202026%20%7C%20Adult%20Movie&s_o=default#version=341dee12be34cd058eb373ee8584d1b1,https://krx18.com/movies/moms-friend-10/,1,18+
Sister in law Who Devoured Her Brother in law [Uuncut],https://disqus.com/embed/comments/?base=default&f=krx18&t_u=https%3A%2F%2Fkrx18.com%2Fmovies%2F75320-sister-in-law-who-devoured-her-brother-in-law-2024%2F&t_d=Free%20Watch%20Sister%20in%20law%20Who%20Devoured%20Her%20Brother%20in%20law%202024%20Online%20%7C%20Korea%20Adult%20Movie&t_t=Free%20Watch%20Sister%20in%20law%20Who%20Devoured%20Her%20Brother%20in%20law%202024%20Online%20%7C%20Korea%20Adult%20Movie&s_o=default#version=341dee12be34cd058eb373ee8584d1b1,https://krx18.com/movies/75320-sister-in-law-who-devoured-her-brother-in-law-2024/,1,18+
Purpose of Sisters [Uncut],https://disqus.com/embed/comments/?base=default&f=krx18&t_u=https%3A%2F%2Fkrx18.com%2Fmovies%2F73677-purpose-of-sisters-2024%2F&t_d=Free%20Watch%20Purpose%20of%20Sisters%202024%20Online%20%7C%20Korea%20Adult%20Movie&t_t=Free%20Watch%20Purpose%20of%20Sisters%202024%20Online%20%7C%20Korea%20Adult%20Movie&s_o=default#version=341dee12be34cd058eb373ee8584d1b1,https://krx18.com/movies/73677-purpose-of-sisters-2024/,1,18+
Gentle Wife: Revenge of the Slut [Uncut],https://z6v2p9a8.bkcdn.net/library/897784/69afbe652adca3b4b0f22d49307ae2c3b7564d3f.mp4,https://krx18.com/movies/72136-gentle-wife-revenge-of-the-slut-2024/,1,18+
Young Married Woman’s Illicit Sexual Affair,https://z6v2p9a8.bkcdn.net/library/897784/69afbe652adca3b4b0f22d49307ae2c3b7564d3f.mp4,https://krx18.com/movies/89424-young-married-womans-illicit-sexual-affair-2026/,1,18+
Master’s Mother and Daughter [Uncut],https://z6v2p9a8.bkcdn.net/library/897784/69afbe652adca3b4b0f22d49307ae2c3b7564d3f.mp4,https://krx18.com/movies/masters-mother-and-daughter-2023-uncut/,1,18+
Manner Teacher,https://z6v2p9a8.bkcdn.net/library/897784/69afbe652adca3b4b0f22d49307ae2c3b7564d3f.mp4,https://krx18.com/movies/manner-teacher-2016/,1,18+
